Product Name,Brand,Barcode
Riz basmati - Rosana,India Gate,8908014100360
Sprouted Brown Basmati Rice,India Gate,0690225300643
Parboiled Basmati Rice,India Gate,0690225104654
Original Basmati Rice,Daawat,8719632250111
Extra Long Basmati Rice,Daawat,8719632250050
Super Basmati Rice,Daawat,8901537025110
Brown Basmati Rice,Daawat,8901537020184
Extra Long Basmati Reis,Daawat,8719632250173
Rice raw,Daawat,0840437500021
Basmati,Kohinoor,8901047039034
Extra Long Basmati Rice,Kohinoor,8906008814040
Toor Dal,Kazan’s Organic,0838927501245
Toor Dal,Real,0892786132521
Bikaji (moong Dal) 400GM,Bikaji,8906005501080
Moong Dal,Deep,0011433113403
"Moong dal, split moong beans (without skin)",Diya,0753182760407
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,8901719106828
Dal Moong,Rehmat-e-Sheren,8964000883044
Ashoka Moong Dal Kachori,Ashoka,8901552015721
Moong Dal,Laxmi,0723246183053
"Organic Moong Dal, Dry",Laxmi,0723246282213
Moong Dal,Angur,8906022573886
Moong Dal (Petite Yellow Lentil),Mahraba,0643864869552
moong dal,Bikaji,8906005501097
Chana Dal,Balaji,8906010502249
Salade de Chana Dal,Hero,7614200110211
Roasted Chana Dal,Ammaas,9350814001641
"Fazlani foods, rajma masala",Fazlani Foods,0810609021272
Red Bean Rajma Masala,Brooklyn Delhi LLC,0854349008124
MTR Ready-To-Eat Rajma Masala,MTR,8901042956213
Rajma White,Dmart Premia,8903363010728
Punjabi Rajma,Tirupati’s,8906030159959
Rajma,Five Minutes To Delhi,5065021805060
Amritsari Rajma,Mother’s Recipe,8906001056966
KABULI CHANA CHICKPEA,24 Mantra Organic,8904083512219
Kabuli Chana,Laxmi,0723246232010
Kabuli Chana,Aara,0859800005957
Everest Sabji masala,Everest,8901786131006
chiken biryani masala Everest,Everest,8901786630509
Kesari Milk Masala,Everest,3948786010509
EVEREST Chhole Masala,Everest,8901786091003
Chunky Chat masala,MDH,6291103750099
pulao masala,MDH,8902167000584
T Plus Masala,MDH,6291103750358
MDH JAL JEERA MASALA,MDH,8902167000010
Sindhi Biryani masala,MDH,8902167001222
Chhole Masala,Catch,8901192221117
Sprinkler Black Pepper,Catch,8901192114006
CHICKEN MASALA,Catch,8901192214119
MEAT MASALA,Catch,8901192213112
catch Rajma masala,Catch,8901192223111
catch biryani masala,Catch,8901192210012
Madras Sambar Masala,Badshah,8901774002165
Chat Masala,Badshah,0850053642548
Chilli Powder,Sakthi,8906002080113
Butter Masala Sauce,Eastern,0862768000117
Spicy Chicken Masala,Eastern,8901440222118
Beef Ularthu Masala,Eastern,8901440206859
Chicken Fry Masala,Eastern,8901440011439
Pro Immunity Multi-source Edible Oil,Fortune,8906008811902
100% Sanfflower Oil,Saffola,0071800828309
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,8901088034593
Saffola Gold,Saffola,8901088155458
mustard oil,Dhara,8906004620287
Water Buffalo And Cow Milk Butter,Amul,0656846520129
Pure ghee clarified butter,Amul,0656846560965
Badam Flavoured Milk,Nandini,8906153561080
goodlife slim,Nandini,8906036670441
Slim UHT Sterilised Skimmed Milk,Nandini,8906036672995
Santhrupthi Milk,Nandini,8906036676290
Fresh Paneer,Verka,0884282099804
Cornflakes Mixture,Haldiram's,8904063230133
taka-tak,Haldiram's,8904004407624
Uncle Saba’s Lentil and chickpea chips,Uncle Saba’s lentil and chickpea chips,0199284210691
Xtreme Butter,ACT II,0076150332308
Popcorn butter,ACT II,0076150200249
Act II sabor Mantequilla,ACT II,7501006559491
Butter Microwave Popcorn,ACT II,0076150200102
Xtreme Butter Microwave Popcorn,ACT II,0076150232097
ACT II Butter Lovers Flavour,ACT II,0076150982350
Popcorn,ACT II,0076150982336
Light Butter Flavour Microwave Popcorn,ACT II,0076150982367
ACT II Simply Salted popcorn,ACT II,0076150011661
Munchies Orange,Nestlé,8445291318823
Flamin' Hot Snack Mix,Munchies,0028400035729
Munchies Cookie Dough,Nestlé,7613037410679
Bikaneri bhujia,Bikaji,8906005500052
Aloo Bhujia Tana-Tan,Bikaji,8906005500335
Potato Chips Mint Pudina,Balaji,8906010505530
Balaji Wafers Rumbles Potato Chips Pudina Twist flavour,Balaji,8906010501952
Crunchem Pizzy Masala,Balaji,8906010501198
Crunchem,Balaji,8906010502591
Good day,Britannia,8901063151345
"Britannia, Good Day, Butter Cookies",Britannia,0901063151367
Good day - Cashew Cookies,Britannia,6291007909449
Oreo Cream Biscuit,Cadbury,7622201431594
Cricket Edition Oreo Original,Cadbury,7622201675660
Bolachas crocantes-maçã,McVitie's,5000396036138
Ginger Nuts Biscuits,McVitie's,5000396038194
Digestive Delicious Wheat Biscuits,McVitie's,5000396025026
Penguin,McVitie's,5000168210360
Digestives the light one cookies,McVitie's,5000168038780
Hobnobs Oats Biscuit,McVitie's,0059290500677
Sable anglais,McVitie's,3061990142979
Toasting Waffles,McVitie's,5000168014104
Digestive light,McVitie's,5000396037227
Soft Bakes Strawberry Filled,belVita,7622210695406
GLUCOSE HIGH ENERGY BISCUITS,Britannia,8906019662708
Monaco - Biscuits crackers à l'emmental,Belin,7622210796301
Glace Vanille Bourbon,Nestlé,3274664225674
Yaourt à la grecque au lait de brebis sucré à la vanille bourbon,La bergerie,3273221098614
Iles flottantes 4x100g,Pâturages,3250390974697
Marie gold,Britannia,6291007902211
Vita Marie Gold Tea time biscuit,Britannia,6291007914559
Vitamin Marie Gold,Britannia,0295407902204
gold marie 165g,maliban,4791034073554
Saucy Noodles Teriyaki,Maggi,7613037683660
Saucy Noodles,Maggi,8445291259171
Fusian oriental noodles teriyaki,Maggi,8585002442567
Pasta oriental sabor pollo,Maggi,8410100063935
Saucy Noodles Teriyaki Style,Maggi,8445291293250
Magic Asia Instant Noodle Cup Chili 63 gr,Maggi,7613036884945
Spaghetti Bolognese,Maggi,7613037870046
Beef noodles,Maggi,5201219488794
Noodles,Maggi,9300605109575
Noodle Cup Duck Taste with Black Pepper & Paprika,Maggi,7613036679978
Vegetable Noodles,Maggi,5201219488787
Chicken flavoured noodle soup,Maggi,6001068586806
Stir Fried Noodles Teriyaki,Maggi,8585002443304
Maggi,Maggi,8901058011128
Durban Curry Flavoured 2 Minute Noodles,Maggi,6009188007386
Hochzeitssuppe,Maggi,7613036053532
Magic Asia Nudel Snack Ente,Maggi,7613036480482
Top Ramen Chicken Flavor,Nissin,0070662026038
Top Ramen Masala Noodles,Nissin,8901014002047
Top Ramen - Soy Sauce Flavor,Nissin,0070662010013
Top ramen hot and spicy beef flavor same picante,Nissin,0070662010129
Top ramen the original soy sauce ramen noodle soup,Nissin,0070662026014
Shrimp Ramen Noodle Soup,Top Ramen,0070662055106
Beef Flavor Ramen Noodle Soup With Japanese Sauce,Top Ramen,0070662027028
Magic Masala Noodles,Yippee,8901725005863
Yippee noodles (snack pack),Sunfeast,8901725018016
Sunfeast Yippee! masala magic,Sunfeast,8901725005986
Noodles,Yippee,8901725019747
Atta Noodles,Yippee,8901725005214
Yippee Noodles Magic Masala,Sunfeast,8901725012830
Les classiques - Velouté de 9 légumes,Knorr,8714100766576
Knorr Soupe Liquide Douceur à l'Italienne Tomates Mozzarella 1L,Knorr,8710908961298
Knorr Soupe Liquide Douceur de 8 Légumes à la Crème Fraîche 30cl,Knorr,8710908961045
Soupe Douceur 8 Légumes à la Crème Fraîche,Knorr,8710908960956
Velouté Patate Douce & Chèvre et Miel,Knorr,3274935203028
Knorr Soupe Déshydratée Paysanne Légumes & Lard 4 Portions,Knorr,3011360006042
intense rich beef,Knorr,8712566479528
Knorr Soupe Liquide Légumes du Pot-au-Feu 1L,Knorr,8712100567360
Beef stock pot,Knorr,8722700268741
Knorr Soupe Déshydratée Tomates aux Vermicelles 4 Portions,Knorr,3011360020086
Nudle ser w ziołach,Knorr,8714100666838
Knorr Comme à La Maison Soupe Liquide Courgette Ricotta Parmesan 45cl,Knorr,8711200350353
Knorr Soupe Liquide Douceur de Légumes du Soleil 1L,Knorr,8720182474063
Suppenliebe Frühlingssuppe mit Gemüse,Knorr,8712566332175
Douceur italienne,Knorr,8720182647061
Oinion soup,Knorr,0055220060129
Soldatens Ärtsoppa,Knorr,7310390001390
Zupa Borowikowa z grzankami,Knorr,8712100868054
Chilli Chicken Masala Mix,Ching's Secret,8901595972234
Yippee,Sunfeast,0841905090105
Sunfeast yippee 280g,Sunfeast,8901725181673
Yippee tricolour pasta,Sunfeast,8901725111168
Red Label Tea Bags,Knightsbridge,4056489648529
tea red label,nhte,0793573999078
Red Label Loose Leaf Black Tea,Brooke Bond,0068400600336
"Brooke Bond, Red Label Tea",Unilever India Exports Limited,0890103008303
Red Label LOOSE BLACK TEA,Brooke Bond,8720608616893
Instant Masala Tea (Unsweetened),Wagh Bakri,8901747003175
Masala Chai Tea Bags,Wagh Bakri,8901747003694
Instant Cardamom Tea,Wagh Bakri,8901747003199
Instant tea combo pack,Wagh Bakri,8901747002277
Instant Saffron Tea,Wagh Bakri,8901747005599
Lipton Peche ice tea,Lipton,6111252422411
lipton yellow label tea x25,Lipton,8720608632633
Thé vert myrtille et mûre x 20 sachets,Lipton,8720608025664
lipton-ice-tea,Lipton,6111252422985
Lipton Ice Tea saveur framboise,Lipton,3502110010674
Green tea,Lipton,5063270101766
Thé vert Menthe,Lipton,8720608026524
Thé glacé pêche pétillant,Lipton,3168930174431
Lipton Ice Tea saveur pêche 25 cl,Lipton,8722700009276
Duo saveur pêche abricot,Lipton,3168930170662
Hibiscus saveur framboise facon infusion glacee,Lipton,3168930170754
Lipton Forest fruits,Lipton,5063270109557
Thé  noir earl grey bergamote,Lipton,5063270105856
Green iced tea,Lipton,8711327501461
Nescafe classic,Nescafe,6111018903185
NESCAFE 3 in 1 Classic,Nescafe,8445291259331
Nescafe classic,Nestlé,6111018501503
Classic crema,Nestlé,7613033835018
Натуральный растворимый порошкообразный кофе NESCAFÉ® CLASSIC CREMA,Nescafe,4606272038763
Nescafé Classic Classic Mild Instantkaffee,Nescafe,7613031514793
Classic café soluble natural,Nescafe,7613031236480
Nescafe Classic coffee,Nestlé,7613033677724
Nescafe Classic Instant Coffee 100g Glass,Nescafe,7613031918867
